X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,UPDATE_DATE,STATUS
11810818.5154335,6886553.81631739,5575,MOUNT ZION BAPTIST CHURCH,18410 CHAPEL ROAD,TRIANGLE,22172,2019/07/26 20:03:31+00,1
11815301.9998537,6884452.99967544,5576,FIRST ASSEMBLY OF GOD,4212 INN STREET,TRIANGLE,22172,2019/07/26 20:03:31+00,1
11818482.0001126,6883550.4995786,5577,ST FRANCIS OF ASSISI CATHOLIC CHURCH,18825 FULLER HEIGHTS ROAD,TRIANGLE,22172,2019/07/26 20:03:31+00,1
11819232.9996653,6881230.50034443,5578,STAR BETHLEHEM MISSIONARY BAPTIST CHURCH,19068 BETHLEHEM CHURCH ROAD,TRIANGLE,22172,2019/07/26 20:03:31+00,1
11836536.0000014,6915757.49967259,5579,UNITY CHURCH,14747 ARIZONA AVENUE,WOODBRIDGE,22191,2021/07/28 18:48:20+00,1
11715229.1636645,6996544.34749183,5580,ANTIOCH BAPTIST CHURCH,16513 WATERFALL ROAD,HAYMARKET,20169,2019/07/26 20:03:31+00,1
11767209.8410889,6956577.9474546,5581,BEREAN BAPTIST CHURCH,10213 NOKESVILLE ROAD,MANASSAS,20110,2019/07/26 20:03:31+00,1
11772943.6174782,6964274.23469377,5582,BETHEL LUTHERAN CHURCH,8712 PLANTATION LANE,MANASSAS,20110,2019/07/26 20:03:31+00,1
11776077.6670171,6958423.08998433,5583,BULL RUN UNITARIAN UNIVERSALISTS,9350 MAIN STREET,MANASSAS,20110,2019/07/26 20:03:31+00,1
11776002.9347291,6942234.88798524,5584,CALVARY GOSPEL CHURCH,11501 BRADLEY FOREST ROAD,MANASSAS,20112,2021/08/25 21:09:23+00,1
11818179.4964323,6922418.69980679,5585,CENTRAL BAPTIST CHURCH,13910 MINNIEVILLE ROAD,WOODBRIDGE,22193,2019/07/26 20:03:31+00,1
11778781.0334197,6956574.94022261,5586,VICTORY FELLOWSHIP CHURCH OF GOD OF PROPHECY,9608 FAIRVIEW AVENUE,MANASSAS,20110,2020/07/31 20:30:43+00,1
11831398.5599967,6923418.48297572,5587,FIRST CHURCH OF CHRIST SCIENTIST,2260 YORK DRIVE,WOODBRIDGE,22191,2021/08/25 21:09:45+00,1
11774868.529608,6958105.87808003,5588,FIRST BAPTIST CHURCH,9258 CENTER STREET,MANASSAS,20110,2019/07/26 20:03:31+00,1
11821247.7954432,6935484.46698695,5589,FIRST BAPTIST CHURCH SBC,3460 COMMISSION COURT,WOODBRIDGE,22192,2019/07/26 20:03:31+00,1
11774825.637064,6953565.49612381,5591,GRACE UNITED METHODIST CHURCH,9750 WELLINGTON ROAD,MANASSAS,20110,2020/07/31 19:41:56+00,1
11810892.7444256,6916631.7837054,5592,GREENWOOD BAPTIST CHURCH,14601 CARDINAL DRIVE,WOODBRIDGE,22193,2021/08/25 21:24:29+00,1
11768091.3612177,6935374.94353086,5593,HATCHER'S MEMORIAL BAPTIST CHURCH,12225 BARBEE ROAD,BRISTOW,20136,2021/08/25 21:24:59+00,1
11769876.3109794,6959638.33683345,5594,KINGDOM HALL OF JEHOVAHS WITNESSES,9912 COCKRELL ROAD,MANASSAS,20110,2019/07/26 20:03:31+00,1
11769461.402819,6968563.08615376,5595,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,8001 BARRETT DRIVE,MANASSAS,20109,2020/07/07 20:45:42+00,1
